
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=2 | 02a | Lire une ligne de texte
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=3 | 02b | Petites fiches et gros travail
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=4 | 02c | Comparer deux chaînes de caractères
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=5 | 02d | Priorité alphabétique
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=7 | 02e | Une ligne sur deux
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=8 | 02f | Calculer la longueur d’une chaîne de caractères
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=9 | 02g | Résumés de livres
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=10 | 02h | Lire ou ne pas lire, telle est la question
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=12 | 03 | Mots
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=13 | 03a | Lire un mot individuellement
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=14 | 03b | Fiches d’inscription
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=15 | 03c | Lire plusieurs choses sur la même ligne : écriture simplifiée
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=16 | 03d | Analyse de fréquence

chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=17 | 04 | Caractères
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=18 | 04a | Accéder aux caractères d'une chaîne et les afficher
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=19 | 04b | Impression d’étiquettes
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=20 | 04c | Écriture en miroir
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=21 | 04d | Comparer deux caractères
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=22 | 04e | Inscription d’étudiants
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=23 | 04f | ngms sns vlls
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=24 | 04g | La bataille
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=25 | 04h | Déclarer et lire un caractère
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=26 | 04i | Analyse d’une langue
chapitre-3-chaines-de-caracteres | cours | http://www.france-ioi.org/algo/course.php?idChapter=595&idCourse=0&iOrder=27 | 04j | Modifier une chaîne existante
chapitre-3-chaines-de-caracteres | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=595&idTask=0&sTab=task&iOrder=28 | 04k | Sans espaces


chapitre-4-fonctions | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=509&idTask=0&sTab=task&iOrder=1 | 01 | Code secret deux fois
chapitre-4-fonctions | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=509&idTask=0&sTab=task&iOrder=3 | 02 | Deux codes secrets
chapitre-4-fonctions | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=509&idTask=0&sTab=task&iOrder=5 | 03 | Deux rectangles
chapitre-4-fonctions | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=509&idTask=0&sTab=task&iOrder=7 | 04 | Fonction min
chapitre-4-fonctions | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=509&idTask=0&sTab=task&iOrder=9 | 05 | Distance
chapitre-4-fonctions | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=509&idTask=0&sTab=task&iOrder=13 | 06 | Formes creuses
chapitre-4-fonctions | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=509&idTask=0&sTab=task&iOrder=14 | 07 | Convertisseur d'unités

